Date,date,country,city,name
March 5,2022-03-05T12:00:00.000Z,Bahrain,Sakhir,Gulf Air Bahrain Grad Prix
March 19,2022-03-19T12:00:00.000Z,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix
April 2,2022-04-02T12:00:00.000Z,Australia,Melbourne,Heineken Australian Grand Prix
April 30,2022-04-30T12:00:00.000Z,Azerbaijan,Baku,Azerbaijan Grand Prix
May 7,2022-05-07T12:00:00.000Z,Miami,Miami,United States Grand Prix
May 21,2022-05-21T12:00:00.000Z,Emilia Romagna,Imola,Premio Del Made In Italy E Dell’Emilia-Romagna
May 28,2022-05-28T12:00:00.000Z,Monaco,Monaco,Grand Prix De Monaco
June 4,2022-06-04T12:00:00.000Z,Spain,Barcelona,Spanish Grand Prix
June 18,2022-06-18T12:00:00.000Z,Canada,Montreal,Candian Grand Prix
July 2,2022-07-02T12:00:00.000Z,Austria,Spielberg,Austrian Grand Prix
July 9,2022-07-09T12:00:00.000Z,United Kingdom,Silverstone,British Grand Prix
July 23,2022-07-23T12:00:00.000Z,Hungary,Budapest,Hungarian Grand Prix
July 30,2022-07-30T12:00:00.000Z,Belgium,Spa,Belgian Grand Prix
August 27,2022-08-27T12:00:00.000Z,Netherlands,Zandvoort,Dutch Grand Prix
September 3,2022-09-03T12:00:00.000Z,Italy,Monza,Italian Grand Prix
September 17,2022-09-17T12:00:00.000Z,Singapore,Singapore,Singapore Airlines Grand Prix
September 24,2022-09-24T12:00:00.000Z,Japan,Suzuka,Japaneese Grand prix
October 8,2022-10-08T12:00:00.000Z,Qatar,Lusail,Qatar Grand Prix
October 22,2022-10-22T12:00:00.000Z,USA,Austin,COTA
October 29,2022-10-29T12:00:00.000Z,Mexico,Mexico City,Mexican Grand Prix
November 5,2022-11-05T12:00:00.000Z,Brazil,Sao Paulo,Brazilian Grand Prix
November 18,2022-11-18T12:00:00.000Z,Las Vegas,Las Vegas*,Las Vegas Debauchery
November 26,2022-11-26T12:00:00.000Z,Abu Dhabi,Yas Marina,Abu Dhabi Grand Prix
